Ano,Encabezado,Cespe,Especie,Cintiauto,Cintientrega,Epocainicio,EpocaFin
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,1,ANTILOPE ACUATICO,20,0,25/09/2015,24/09/2016
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,1,ANTILOPE ACUATICO,20,0,09/09/2016,28/05/2017
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,1,ANTILOPE ACUATICO,10,0,09/09/2017,28/05/2018
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,1,ANTILOPE ACUATICO,20,0,28/05/2018,28/05/2019
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,1,ANTILOPE ACUATICO,0,0,28/05/2019,28/05/2020
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,1,ANTILOPE ACUATICO,0,0,28/05/2020,28/05/2021
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,1,ANTILOPE ACUATICO,0,0,09/09/2021,28/05/2022
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,1,ANTILOPE ACUATICO,0,0,09/09/2022,28/05/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,2,ANTILOPE CUELLO NEGRO,2,0,25/09/2015,24/09/2016
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,2,ANTILOPE CUELLO NEGRO,2,0,09/09/2016,28/05/2017
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,2,ANTILOPE CUELLO NEGRO,1,0,01/09/2017,28/03/2018
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,2,ANTILOPE CUELLO NEGRO,1,0,01/09/2018,01/09/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,2,ANTILOPE CUELLO NEGRO,0,0,01/09/2019,01/09/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,2,ANTILOPE CUELLO NEGRO,0,0,01/09/2020,01/09/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,2,ANTILOPE CUELLO NEGRO,0,0,01/09/2021,01/09/2021
