Ano,Cespe,Cintiauto,Cintientrega,Epocainicio,EpocaFin,Popularidad,Riesgo (IUCN),UMAs,Caracter,Riesgo (NOM-059)
2015,1,20,0,1443139200.0,1474675200.0,0,2,2.0,0,0
2016,1,20,0,1473379200.0,1495929600.0,0,2,2.0,0,0
2017,1,10,0,1504915200.0,1527465600.0,0,2,2.0,0,0
2018,1,20,0,1527465600.0,1559001600.0,0,2,2.0,0,0
2019,1,0,0,1559001600.0,1590624000.0,0,2,2.0,0,0
2020,1,0,0,1590624000.0,1622160000.0,0,2,2.0,0,0
2021,1,0,0,1631145600.0,1653696000.0,0,2,2.0,0,0
2022,1,0,0,1662681600.0,1685232000.0,0,2,2.0,0,0
2015,2,2,0,1443139200.0,1474675200.0,0,4,5.0,0,1
2016,2,2,0,1473379200.0,1495929600.0,0,4,5.0,0,1
2017,2,1,0,1483920000.0,1522195200.0,0,4,5.0,0,1
2018,2,1,0,1515456000.0,1515456000.0,0,4,5.0,0,1
2019,2,0,0,1546992000.0,1546992000.0,0,4,5.0,0,1
2020,2,0,0,1578528000.0,1578528000.0,0,4,5.0,0,1
2021,2,0,0,1610150400.0,1610150400.0,0,4,5.0,0,1
2022,2,0,0,1641686400.0,1641686400.0,0,4,5.0,0,1
2023,2,0,0,1673222400.0,1673222400.0,0,4,5.0,0,1
2015,3,30,0,1443139200.0,1474675200.0,0,2,6.0,0,0
2016,3,30,0,1473379200.0,1495929600.0,0,2,6.0,0,0
2017,3,34,0,1483920000.0,1522108800.0,0,2,6.0,0,0
2018,3,31,1,1515456000.0,1515456000.0,0,2,6.0,0,0
2019,3,0,0,1546992000.0,1546992000.0,0,2,6.0,0,0
2020,3,0,0,1578528000.0,1578528000.0,0,2,6.0,0,0
2021,3,0,0,1610150400.0,1610150400.0,0,2,6.0,0,0
2022,3,0,0,1641686400.0,1641686400.0,0,2,6.0,0,0
2023,3,0,0,1673222400.0,1673222400.0,0,2,6.0,0,0
2015,4,15,0,1443139200.0,1474675200.0,0,2,3.0,0,0
2016,4,15,0,1473379200.0,1495929600.0,0,2,3.0,0,0
2017,4,23,0,1483920000.0,1527379200.0,0,2,3.0,0,0
2018,4,15,0,1515456000.0,1558915200.0,0,2,3.0,0,0
2019,4,0,0,1546992000.0,1590537600.0,0,2,3.0,0,0
2020,4,0,0,1578528000.0,1622073600.0,0,2,3.0,0,0
2021,4,0,0,1610150400.0,1653609600.0,0,2,3.0,0,0
2022,4,0,0,1641686400.0,1685145600.0,0,2,3.0,0,0
2015,5,10,0,1443139200.0,1474675200.0,0,2,3.0,0,0
2016,5,10,0,1473379200.0,1495929600.0,0,2,3.0,0,0
2017,5,10,0,1483920000.0,1527379200.0,0,2,3.0,0,0
2018,5,10,0,1515456000.0,1558915200.0,0,2,3.0,0,0
2019,5,0,0,1546992000.0,1590537600.0,0,2,3.0,0,0
2020,5,0,0,1578528000.0,1622073600.0,0,2,3.0,0,0
2021,5,0,0,1610150400.0,1653609600.0,0,2,3.0,0,0
2022,5,0,0,1641686400.0,1685145600.0,0,2,3.0,0,0
2015,6,50,0,1443139200.0,1474675200.0,0,7,3.0,0,4
2016,6,45,5,1441756800.0,1464393600.0,0,7,3.0,0,4
2017,6,49,10,1452297600.0,1495843200.0,1,7,3.0,0,4
2018,6,59,4,1483920000.0,1522627200.0,0,7,3.0,0,4
2019,6,15,0,1515456000.0,1554163200.0,0,7,3.0,0,4
2020,6,0,0,1546992000.0,1585785600.0,0,7,3.0,0,4
2021,6,0,0,1578528000.0,1617321600.0,0,7,3.0,0,4
2022,6,0,0,1610150400.0,1648857600.0,0,7,3.0,0,4
2023,6,0,0,1641686400.0,1680393600.0,0,7,3.0,0,4
2015,7,5,0,1443139200.0,1474675200.0,0,2,1.0,0,0
2016,7,5,0,1473379200.0,1495929600.0,0,2,1.0,0,0
2017,7,0,0,1504915200.0,1527465600.0,0,2,1.0,0,0
2018,7,8,0,1536451200.0,1559001600.0,0,2,1.0,0,0
2019,7,0,0,1567987200.0,1590624000.0,0,2,1.0,0,0
2020,7,0,0,1599609600.0,1622160000.0,0,2,1.0,0,0
2021,7,0,0,1631145600.0,1653696000.0,0,2,1.0,0,0
2022,7,0,0,1662681600.0,1685232000.0,0,2,1.0,0,0
2015,8,18,4,1411603200.0,1443052800.0,0,3,1.0,1,2
2016,8,18,5,1441756800.0,1464393600.0,0,3,1.0,1,2
2017,8,18,6,1452297600.0,1495843200.0,1,3,1.0,1,2
2018,8,18,12,1483920000.0,1527379200.0,1,3,1.0,1,2
2019,8,0,0,1515456000.0,1558915200.0,0,3,1.0,1,2
2020,8,0,0,1546992000.0,1590537600.0,0,3,1.0,1,2
2021,8,0,0,1578528000.0,1622073600.0,0,3,1.0,1,2
2022,8,0,0,1610150400.0,1653609600.0,0,3,1.0,1,2
2023,8,13,8,1641686400.0,1685145600.0,1,3,1.0,1,2
2015,9,30,0,1443139200.0,1474675200.0,0,4,4.0,0,2
2016,9,30,0,1473379200.0,1495929600.0,0,4,4.0,0,2
2017,9,34,0,1483920000.0,1527379200.0,0,4,4.0,0,2
2018,9,30,0,1515456000.0,1558915200.0,0,4,4.0,0,2
2019,9,0,0,1546992000.0,1590537600.0,0,4,4.0,0,2
2020,9,0,0,1578528000.0,1622073600.0,0,4,4.0,0,2
2021,9,0,0,1610150400.0,1653609600.0,0,4,4.0,0,2
2022,9,0,0,1641686400.0,1685145600.0,0,4,4.0,0,2
2015,10,64,62,1402444800.0,1426809600.0,2,6,10.0,0,1
2016,10,92,85,1428710400.0,1458345600.0,2,6,10.0,0,1
2017,10,85,82,1452556800.0,1490400000.0,2,6,10.0,0,1
2018,10,107,107,1484179200.0,1521936000.0,2,6,10.0,0,1
2019,10,106,106,1515715200.0,1553472000.0,2,6,10.0,0,1
2020,10,124,124,1547251200.0,1585094400.0,2,6,10.0,0,1
2021,10,100,97,1578787200.0,1616630400.0,2,6,10.0,0,1
2022,10,257,257,1610409600.0,1648166400.0,2,6,10.0,0,1
2023,10,194,194,1641945600.0,1679702400.0,2,6,10.0,0,1
2015,11,138,94,1402444800.0,1426809600.0,2,2,14.0,0,1
2016,11,148,91,1428710400.0,1458345600.0,2,2,14.0,0,1
2017,11,95,95,1460332800.0,1489881600.0,2,2,14.0,0,1
2018,11,115,115,1491868800.0,1521417600.0,2,2,14.0,0,1
2019,11,100,100,1523404800.0,1552953600.0,2,2,14.0,0,1
2020,11,118,118,1554940800.0,1584576000.0,2,2,14.0,0,1
2021,11,86,86,1586563200.0,1616112000.0,2,2,14.0,0,1
2022,11,0,0,1618099200.0,1647648000.0,0,2,14.0,0,1
2023,11,0,0,1649635200.0,1679184000.0,0,2,14.0,0,1
2016,12,0,0,1473379200.0,1495929600.0,0,4,4.0,0,2
2015,13,18,0,1443139200.0,1474675200.0,0,2,7.0,0,0
2016,13,18,0,1473379200.0,1495929600.0,0,2,7.0,0,0
2017,13,18,0,1483920000.0,1527379200.0,0,2,7.0,0,0
2018,13,15,0,1515456000.0,1558915200.0,0,2,7.0,0,0
2019,13,0,0,1546992000.0,1590537600.0,0,2,7.0,0,0
2020,13,0,0,1578528000.0,1622073600.0,0,2,7.0,0,0
2021,13,0,0,1610150400.0,1653609600.0,0,2,7.0,0,0
2022,13,0,0,1641686400.0,1685145600.0,0,2,7.0,0,0
2015,14,110,50,1414627200.0,1425081600.0,2,2,4.0,0,0
2016,14,150,38,1445990400.0,1456444800.0,1,2,4.0,0,0
2017,14,152,37,1477526400.0,1487980800.0,1,2,4.0,0,0
2018,14,187,49,1509062400.0,1519516800.0,2,2,4.0,0,0
2019,14,151,27,1540598400.0,1551052800.0,1,2,4.0,0,0
2020,14,160,49,1572134400.0,1582588800.0,2,2,4.0,0,0
2021,14,175,53,1603756800.0,1614211200.0,2,2,4.0,0,0
2022,14,175,69,1635292800.0,1645747200.0,2,2,4.0,0,0
2023,14,78,38,1666828800.0,1677283200.0,1,2,4.0,0,0
2015,15,27,0,1443139200.0,1474675200.0,0,2,5.0,0,0
2016,15,22,0,1473379200.0,1495929600.0,0,2,5.0,0,0
2017,15,22,0,1483920000.0,1527379200.0,0,2,5.0,0,0
2018,15,17,0,1515456000.0,1558915200.0,0,2,5.0,0,0
2019,15,2,0,1546992000.0,1590537600.0,0,2,5.0,0,0
2020,15,0,0,1578528000.0,1622073600.0,0,2,5.0,0,0
2021,15,0,0,1610150400.0,1653609600.0,0,2,5.0,0,0
2022,15,0,0,1641686400.0,1685145600.0,0,2,5.0,0,0
2015,16,15,0,1443139200.0,1474675200.0,0,1,3.0,0,0
2016,16,13,0,1473379200.0,1495929600.0,0,1,3.0,0,0
2017,16,9,0,1483920000.0,1527379200.0,0,1,3.0,0,0
2018,16,11,0,1515456000.0,1558915200.0,0,1,3.0,0,0
2019,16,1,0,1546992000.0,1590537600.0,0,1,3.0,0,0
2020,16,0,0,1578528000.0,1622073600.0,0,1,3.0,0,0
2021,16,0,0,1610150400.0,1653609600.0,0,1,3.0,0,0
2022,16,0,0,1641686400.0,1685145600.0,0,1,3.0,0,0
2015,17,17,0,1402444800.0,1435795200.0,0,2,2.0,0,0
